Phage,Type,time,N,PFU,sd,se,ci
øEnA02,Ancestor,0,3,100,0,0,0
øEnA02,Ancestor,5,3,8.562191199,7.555018489952614,4.3618919589067415,18.76770634386232
øEnA02,Ancestor,10,3,26.039928761,37.501599991637605,21.65155885021364,93.15913879020283
øEnA02,Ancestor,15,3,20.01321383433333,27.471808869053785,15.860856245674151,68.24375642161368
øEnA02,Ancestor,20,3,14.146845916666667,7.182547818826202,4.146845916666667,17.842437903196245
øEnA02,Ancestor,25,3,76.14753876666667,66.79755657712346,38.56558727101149,165.93432934600867
øEnA02,Ancestor,30,3,657.8306332333333,875.3088111374731,505.3597777342714,2174.387627173944
øEnA02,Ancestor,40,3,1661.6396646666667,409.1493257046543,236.22247333433603,1016.3832697201503
øEnA02,Evolved,0,3,100,0,0,0
øEnA02,Evolved,5,3,18.047423916666666,6.199985227550458,3.5795631400979606,15.401617116053046
øEnA02,Evolved,10,3,20.335130600666666,12.062581845283171,6.964334875496132,29.96511446294281
øEnA02,Evolved,15,3,14.121758926,5.597522155101248,3.2317309230426,13.90501587784499
øEnA02,Evolved,20,3,137.77498203333334,37.83700037107365,21.845202349567344,93.99231952129529
øEnA02,Evolved,25,3,938.2075245333333,957.0630427041723,552.5606053366962,2377.476396903951
øEnA02,Evolved,30,3,2325.5092259333333,1832.4557103454988,1057.9687976460407,4552.072335181493
øEnA02,Evolved,40,3,3611.514498,1514.7473636766395,874.5397981729838,3762.841049883532
øEnC07,Ancestor,0,3,100,0,0,0
øEnC07,Ancestor,5,3,9.096875133333334,4.006580917902128,2.3132005714808117,9.95289875333993
øEnC07,Ancestor,10,3,7.764208208333334,1.1136987568733896,0.6429942770770031,2.766581081478649
øEnC07,Ancestor,15,3,5.729754701666667,0.5212440312016553,0.3009403817277614,1.2948419549327976
øEnC07,Ancestor,20,3,81.77628561666667,41.02198852156338,23.684056115618358,101.90426869740476
øEnC07,Ancestor,25,3,806.8140003999999,299.5668025984508,172.95497412049107,744.1651915232785
øEnC07,Ancestor,30,3,1316.4244908666667,577.8440386853921,333.6184112846317,1435.4441680084992
øEnC07,Ancestor,40,3,1312.7986956666666,448.9003632173047,259.17274554283165,1115.1303210865274
øEnC07,Evolved,0,3,100,0,0,0
øEnC07,Evolved,5,3,0.20792815533333334,0.06336101139739991,0.03658149698641579,0.1573974778669236
øEnC07,Evolved,10,3,0.082739428,0.06871617002343454,0.039673299260710025,0.1707004293622613
øEnC07,Evolved,15,3,0.08733686266666667,0.015149314620312574,0.008746460874075799,0.037632983755489104
øEnC07,Evolved,20,3,40.70566235666667,25.12958728723263,14.508573984907958,62.42535546093625
øEnC07,Evolved,25,3,457.5020525333333,113.30568101407064,65.41706543418756,281.4669151626063
øEnC07,Evolved,30,3,833.3629219999999,463.03596569890226,267.3339394407396,1150.2451042893756
øEnC07,Evolved,40,3,1149.2400249666666,482.777291082909,278.73159896535583,1199.2852751557205
øEnC15,Ancestor,0,3,0,0,0,0
øEnC15,Ancestor,5,3,0,0,0,0
øEnC15,Ancestor,10,3,0,0,0,0
øEnC15,Ancestor,15,3,0,0,0,0
øEnC15,Ancestor,20,3,0,0,0,0
øEnC15,Ancestor,25,3,0,0,0,0
øEnC15,Ancestor,30,3,0,0,0,0
øEnC15,Ancestor,40,3,0,0,0,0
øEnC15,Evolved,0,3,100,0,0,0
øEnC15,Evolved,5,3,18.61721611966667,15.754740677712665,9.096003771290155,39.13694545635298
øEnC15,Evolved,10,3,17.255189254666664,10.018664124811526,5.7842784293803815,24.887741373804428
øEnC15,Evolved,15,3,19.459706957,9.559417616992178,5.5191323344664855,23.746909804740746
øEnC15,Evolved,20,3,274.61538463333335,146.95417401932318,84.84403192859536,365.0544055805213
øEnC15,Evolved,25,3,976.6178265,1187.1402445820452,685.395739775282,2949.019850702769
øEnC15,Evolved,30,3,1643.3150182333334,1284.993598383794,741.8913999338293,3192.1010571029406
øEnC15,Evolved,40,3,15271.367520333333,24307.32237204038,14033.839114776527,60382.736176057995
