strains,øEnC07,øEnC15,øEnA02,Cocktail.V1
AH17B002,2,2,1,2
AH17D011,2,2,2,2
AH18H032,1,1,2,2
AH18J015,2,2,2,2
AH19A071,1,0,1,1
AH19B061,2,2,2,2
AH19D062,1,1,2,2
AH19I030,0,1,1,1
AH19K020,0,0,2,2
AH20B044,1,0,0,1
AH20D069,2,1,0,2
AH20F054,0,0,2,2
CPO002,2,2,1,2
CPO003,2,1,2,2
CPO006,2,2,2,2
CPO008,2,2,1,2
CPO009,0,0,1,1
CPO013,2,1,2,2
CPO014,2,2,1,2
CPO016,2,2,1,2
CPO017,2,2,2,2
CPO019,2,1,2,2
CPO020,0,2,2,2
CPO022,0,0,1,1
CPO024,1,1,1,1
CPO029,1,1,1,1
CPO033,1,1,1,1
CPO040,1,1,1,1
CPO042,1,1,1,1
CPO044,1,1,1,1
CPO049,2,2,1,2
CPO050,2,2,1,2
CPO051,2,2,1,2
CPO052,2,2,1,2
CPO053,0,0,2,2
CPO054,0,0,1,1
CPO055,2,2,1,2
CPO056,2,2,1,2
CPO058,1,1,1,1
CPO060,1,1,1,1
CPO062,1,1,1,1
CPO066,2,2,2,2
CPO067,0,0,1,1
CPO068,1,1,1,1
CPO081,0,2,0,2
CPO089,2,2,1,2
CPO091,2,2,2,2
CPO092,2,2,1,2
CPO093,2,2,2,2
CPO094,1,1,1,1
CPO098,2,2,1,2
CPO123,0,0,2,2
CPO129,0,1,1,1
CPO145,0,1,1,1
CPO153,0,0,1,1
CPO157,0,0,1,1
CPO158,0,0,1,1
CPO160,0,0,1,1
CPO165,0,1,1,1
CPO166,0,0,1,1
CPO171,0,0,1,1
CPO177,0,0,1,1
CPO179,1,0,0,1
CPO189,2,2,1,2
CPO190,2,2,1,2
CPO191,2,2,1,2
CPO203,1,2,1,2
CPO210,1,2,2,2
CPO214,2,2,1,2
CPO216,1,2,2,2
CPO220,1,1,1,1
CPO225,0,0,1,1
CPO229,2,2,1,2
CPO234,0,0,1,1
CPO239,2,2,2,2
CPO241,1,2,1,2
CPO242,2,2,1,2
CPO244,0,0,0,0
CPO259,1,1,1,1
CPO264,2,2,1,2
CPO267,2,2,1,2
CPO268,2,2,2,2
CPO272,2,2,0,2
CPO278,2,2,1,2
CPO280,1,1,2,2
CPO285,2,2,1,2
CPO286,2,1,1,2
CPO287,0,0,2,2
CPO291,2,1,1,2
CPO292,2,2,1,2
CPO299,0,2,2,2
CPO303,2,2,1,2
CPO312,2,2,2,2
CPO316,1,1,2,2
CPO320,2,2,1,2
CPO335,1,1,1,1
CPO337,2,2,1,2
CPO338,1,1,1,1
CPO344,1,1,1,1
CPO351,0,1,1,1
CPO353,1,1,1,1
CPO360,1,1,1,1
CPO361,1,1,1,1
CPO362,1,1,1,1
CPO365,1,1,2,2
CPO367,1,1,1,1
CPO369,1,1,1,1
CPO370,1,1,1,1
CPO385,1,2,2,2
CPO386,1,1,1,1
CPO388,0,1,0,1
CPO389,1,1,1,1
CPO390,0,1,1,1
CPO391,0,1,1,1
CPO395,1,1,1,1
CPO413,1,1,1,1
CPO436,0,1,1,1
CPO439,2,2,2,2
CPO447,0,1,1,1
CPO448,0,1,1,1
,,,,
0 = no lysis
1 = partial lysis (hazy zone of lysis)
2 = complete lysis 
,,,,54
