Phage,time,N,PFU,sd,se,ci,,,
EnA02,0,3,2093333.333,70237.69169,40551.7502,174480.0987,,,
EnA02,10,3,25200,5499.090834,3174.901573,13660.49892,,,
EnA02,15,3,15566.66667,3043.572462,1757.20738,7560.653132,,,
EnA02,20,3,4373333.333,2384792.094,1376860.358,5924151.976,,,
EnA02,25,3,75133333.33,34359472.25,19837450.55,85353660.77,,,
EnA02,30,3,173000000,28687976.58,16563011,71264884.49,,,
EnA02,40,3,112800000,21884240.91,12634872.38,54363468.13,,,
EnA02,50,3,2726666667,450814078.5,260277629.6,1119884253,,,
EnA02,60,3,16566666667,5101307022,2945240982,12672349153,,,
EnC07,0,3,2280000,131148.7705,75718.77794,325791.6066,,,
EnC07,10,3,26000,7325.981163,4229.657197,18198.74608,,,
EnC07,15,3,43033.33333,42727.31367,24668.62605,106140.5312,,,
EnC07,20,3,1736666.667,652099.1745,376489.6339,1619904.151,,,
EnC07,25,3,15403333.33,10130263.24,5848710.209,25164968.95,,,
EnC07,30,3,65300000,36183283.43,20890428.43,89884258.91,,,
EnC07,40,3,60366666.67,25211373.09,14555793.04,62628522.67,,,
EnC07,50,3,835000000,416976018.5,240741216.5,1035825852,,,
EnC07,60,3,3437000000,2551687089,1473217228,6338742126,,,
CP0093,0,3,699333.3333,522368.9628,301589.8613,1297636.44,,,
CP0093,10,3,98593.33333,158010.0507,91227.14533,392518.7259,,,
CP0093,15,3,688366.6667,1170575.125,675831.8635,2907869.813,,,
CP0093,20,3,22033333.33,8259741.723,4768764.107,20518335.9,,,
CP0093,25,3,159933333.3,81008723.81,46770408.5,201236825.8,,,
CP0093,30,3,245333333.3,153262302.4,88486031.54,380724665.2,,,
CP0093,40,3,95900000,134516058.5,77662882.6,334156413.8,,,
CP0093,50,3,6333333333,5543485666,3200532942,13770781798,,,
CP0093,60,3,19066666667,18677348134,10783371973,46397104856,,,
