Strains,time,Type,N,percent_freePhages,sd,se,ci
CPO093,0,Com,3,0,0,0,0
CPO093,0,RM,3,0,0,0,0
CPO093,0,WT,3,0,0,0,0
CPO093,5,Com,3,-0.31655082433333337,0.019777117438470257,0.011418324076895645,0.049129083258619054
CPO093,5,RM,3,-0.14438243866666667,0.20822376287236616,0.1202180455460374,0.517256501833803
CPO093,5,WT,3,-0.6428813636666666,0.27973026138178564,0.1615023417092583,0.6948884914162706
CPO093,10,Com,3,-0.5805074516666666,0.07929540148438056,0.04578122139250657,0.19698069719573286
CPO093,10,RM,3,-0.16143327966666665,0.17900919207578572,0.10335100523237231,0.44468348478541764
CPO093,10,WT,3,-0.7068980513333334,0.2463497160671744,0.14223007488617104,0.6119666199614542
