Phage,Storage_Condition,days,N,PFU_per_mL,sd,se,ci
¿Nando,4C,2022-12-01,2,17500000000,3535533905.932738,2500000000,31765511840.43673
¿Nando,4C,2022-12-31,2,12000000000,1414213562.373095,999999999.9999999,12706204736.17469
¿Nando,4C,2023-03-01,2,12000000000,1414213562.373095,999999999.9999999,12706204736.17469
¿Nando,4C,2023-05-30,2,12250000000,353553390.59327376,249999999.99999997,3176551184.0436726
¿Nando,4C,2023-11-26,2,6000000000,1414213562.373095,999999999.9999999,12706204736.17469
¿Nando,4C,2024-05-24,3,4933333333.333333,929157324.317757,536449231.31436944,2308154749.486772
¿Nando,RT,2022-12-01,2,17500000000,3535533905.932738,2500000000,31765511840.43673
¿Nando,RT,2022-12-31,2,9500000000,707106781.1865475,499999999.99999994,6353102368.087345
¿Nando,RT,2023-03-01,2,6500000000,707106781.1865475,499999999.99999994,6353102368.087345
¿Nando,RT,2023-05-30,2,3000000000,1414213562.373095,999999999.9999999,12706204736.17469
¿Nando,RT,2023-11-26,2,95000000,7071067.811865475,4999999.999999999,63531023.68087345
¿Nando,RT,2024-05-24,3,240000000,34641016.151377544,20000000,86053054.59498924
¿Taquito,4C,2022-12-01,2,6750000000,353553390.59327376,249999999.99999997,3176551184.0436726
¿Taquito,4C,2022-12-31,2,5500000000,707106781.1865475,499999999.99999994,6353102368.087345
¿Taquito,4C,2023-03-01,2,3500000000,2121320343.5596426,1500000000,19059307104.26204
¿Taquito,4C,2023-05-30,2,4500000000,707106781.1865475,499999999.99999994,6353102368.087345
¿Taquito,4C,2023-11-26,2,1200000000,282842712.47461903,200000000,2541240947.2349386
¿Taquito,4C,2024-05-24,3,2600000000,1915724406.0668015,1106044001.5358038,4758923242.431045
¿Taquito,RT,2022-12-01,2,7000000000,0,0,0
¿Taquito,RT,2022-12-31,2,2500000000,707106781.1865475,499999999.99999994,6353102368.087345
¿Taquito,RT,2023-03-01,2,1400000000,565685424.9492381,400000000,5082481894.469877
¿Taquito,RT,2023-05-30,2,1500000000,707106781.1865475,499999999.99999994,6353102368.087345
¿Taquito,RT,2023-11-26,2,30000000,28284271.2474619,19999999.999999996,254124094.7234938
¿Taquito,RT,2024-05-24,3,396666666.6666667,101159939.36995679,58404718.22645078,251295220.3072866
