phage,Entelli-02,øEnA02,øEnC07,øEnC15,øNando,øTaquito
Eaero,0.349177832,0.362747733,0.246979769,0.291062357,0.0958486,0.102013831
Eaero_R1,0.228147911,0.233111662,0.05459878,0.01279597,0.00700947,0.015075875
Eaero_R2,0.446579891,0.151032755,0.479341084,0.134619694,0.125780422,0.122758036
Eaero_R3,0.637222271,0.056761382,0.525182202,0.03754094,0.031520168,0.037337346
APO57,0.657356019,0.691680877,0.653569491,0.601021239,0.369475234,0.437876909
APO57_R1,0.521204366,0.592548026,0.363357654,0.443484309,0.152649379,0.200555966
APO57_R2,0.76858866,0.618308114,0.528292402,0.197726502,0.000670268,-0.001019581
APO57_R3,0.703607046,0.565094862,0.497176655,0.210465405,0.016178892,0.003998768
CPO093,0.651747879,0.170065457,0.014415116,0.528446531,0.047131948,0.1363393
CPO093_R1,0.373239455,0.275146022,0.267029391,0.198593376,0.004462205,0.002539845
CPO093_R2,0.415054356,0.506720831,0.121215946,0.059112968,0.068623626,0.066584808
CPO093_R3,0.608293793,0.430423782,0.368449666,0.527145545,0.056933126,0.049910609
CPO448,0.787532323,0.048552188,-0.040688983,0.726913131,0.571639329,0.616390569
CPO448_R1,0.669926905,0.644197507,0.039502763,0.10991843,0.203258046,0.080983587
CPO448_R2,0.261765985,0.597320896,0.174380165,0.30196865,0.01724099,0.015776586
CPO448_R3,0.451538453,0.517105989,0.145969024,0.30918221,0.05335845,0.029726215
CPO165,0.439165324,0.254096051,0.03663017,0.297102435,0.331392552,0.572002154
CPO165_R1,0.27160802,0.325486461,0.035563099,0.044083292,0.063429096,0.207238067
CPO165_R2,0.087831091,0.189933015,0.021675458,0.067397138,0.012736375,0.029996565
CPO165_R3,0.153250327,0.206277948,0.03828308,0.058504882,0.032402839,0.039926384
