Strain,øEnC17,øEnC19,øEnC20,øEnC18,øEnC23,øEnC21,øEnC22,øEnC05,øEnC14,øEnC09,øEnC10,øEnC11,øEnC12,øEnA01,øEnC16,øEnC06,øEnC03,øEnC04,øEnC15,øEnC07,øEnA02,Cocktail-V1
CPO006,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2
CPO066,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,2
CPO268,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,2,2
APO56,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,2,0,0,0,0,0,0,0
CPO053,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
CPO123,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,2
CPO287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APO23,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
CPO017,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2
CPO312,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,0,2
CPO091,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2
APO16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,0,2
APO24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2
APO25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,-1,-1,2,0,2,2
CPO020,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2
CPO081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
CPO093,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,0,0,2
CPO239,2,2,2,2,2,2,2,0,0,0,0,0,0,2,0,2,2,2,0,2,2,2
CPO272,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2
CPO299,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,2,0,0,0,2,0,0,2
APO57,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,-1,2,2,2,-1,2,2
AH17D011,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,2
AH18J015,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2
AH19B061,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,2,2,0,2,2
AH19K020,0,2,0,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2
AH20F054,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,2,2
CPO448,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPO351,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPO390,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPO391,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPO244,0,-1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPO353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CPO177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPO165,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPO166,-1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPO179,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,0=no activity,,,,,,,,,,,,,,,,,,,,
,,-1=host of isolation,,,,,,,,,,,,,,,,,,,,
,,2= lytic activity,,,,,,,,,,,,,,,,,,,,
